id,preferred_name,alternative_names,category,description
http://data.europa.eu/esco/occupation/06461fc3-1274-40a1-9322-dfc2753f5eea,spinning,spinning textile|spinning textile operator|textile|textile operator|textile operator spinning,general,
http://data.europa.eu/esco/occupation/0663d464-f139-4554-ae87-97aa6c4dad77,resilient,resilient floor|resilient floor layer|floor|floor layer|floor layer vinyl,general,
http://data.europa.eu/esco/occupation/0663da10-e42c-41e8-992c-07d00ac97bea,textile,textile quality|textile quality technician|quality|quality technician|quality technician textile,general,They compare textile materials and products to standards and interpret results.
http://data.europa.eu/esco/occupation/066a9d8f-3948-409c-a3cf-ed8ed37cfe22,curing,curing room|curing room worker|room|room worker|room worker tobacco,general,
http://data.europa.eu/esco/occupation/066fe11d-10e4-4fec-bd27-3e78797500b9,enameller,enameller metal|enameller metal enameller|metal|metal enameller|metal enameller platinum,general,"The enamel they apply, consists of coloured powdered glass."
http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815,recruitment,recruitment consultant|recruitment consultant job|consultant|consultant job|consultant job placement,general,"They perform testing and interviewing with job seekers, shortlist few candidates to present to the employers and match candidates to appropriate jobs.  Recruitment consultants maintain relationships with employers to offer their services on a more long-term basis."
http://data.europa.eu/esco/occupation/068c2787-58ff-468e-bbb6-c4e5dd6ee482,actuarial,actuarial consultant|actuarial consultant actuaries|consultant|consultant actuaries|consultant actuaries actuarial,technical,"They can work in fields related to insurance, pension, investment, banking, healthcare etc.  Actuarial consultants apply technical and statistical models and theories to give strategic, commercial, and financial advice."
http://data.europa.eu/esco/occupation/068df7d1-516f-4829-b339-294cb0cf6318,performance,performance lighting|performance lighting designer|lighting|lighting designer|lighting designer lighting,general,"Their work is based on research and artistic vision.  Their design is influenced by and influences other designs and must be conform with these designs and the overall artistic vision.  Therefore, the designers work closely with artistic directors, operators and the artistic team.  During rehearsals and performance, they coach the operators to obtain optimal timing and manipulation.  Performance lighting designers develop lighting plots, cue lists and other documentation to support the operators and production crew.  They sometimes also work as autonomous artists, creating light art outside a performance context."
http://data.europa.eu/esco/occupation/06ac0f53-431e-4bc6-acb8-2f5da041b5d3,dance,dance répétiteur|dance répétiteur assistant|répétiteur|répétiteur assistant|répétiteur assistant choreographer,general,"Regardless of their nature and scope, a répétiteur's actions are, from an ethical and practical standpoint, based on a commitment to respect the integrity of the work."
http://data.europa.eu/esco/occupation/06bd6285-13ed-4ea7-90cc-e9638a0600a9,automotive,automotive battery|automotive battery technician|battery|battery technician|battery technician automotive,technical,They use electrical test equipment to confirm good working condition after installation.  They evaluate batteries to determine the nature of power problems.  They also prepare old batteries for disposal.
http://data.europa.eu/esco/occupation/06f89f2c-c6e9-40c5-a4a5-0e34d5fbc184,footwear,footwear designer|footwear designer shoe|designer|designer shoe|designer shoe designer,technical,"They conduct the sampling process, make footwear prototypes and samples for presentations aimed to promoting the footwear concepts and collections.  They identify the range of materials and components, define the design specifications by collaborating with the technical team and review the footwear samples, prototypes, and collections."
http://data.europa.eu/esco/occupation/070e94a8-a933-4557-9b95-fefe7f4f1763,public,public employment|public employment service|employment|employment service|employment service manager,general,They oversee the staff that helps people find employment or provide occupational guidance.
http://data.europa.eu/esco/occupation/072279cf-ed39-47e7-af23-ee6df571eb24,clothing,clothing product|clothing product grader|product|product grader|product grader apparel,programming,e.  scaled-up and scaled-down) to reproduce the same wearing apparel in different sizes.  They draft patterns by hand or using software following size charts.
http://data.europa.eu/esco/occupation/0752ed49-03e7-4d75-8314-a051b3771a1d,public,public administration|public administration manager|administration|administration manager|administration manager public,general,"They supervise staff and manage resources used for implementation, and write reports on the implementation process.  They also communicate with government officials and the public to inform them on the policies.  Public administration managers may also participate in the design and creation of public policies."
http://data.europa.eu/esco/occupation/075e4d25-74b3-46fb-9b6e-6b53cdb196e7,credit,credit analyst|credit analyst credit|analyst|analyst credit|analyst credit clerk,general,"On the basis of credit analyses they advise financial institutions whether customers are loan worthy.  They perform tasks such as collecting data on the loan applicant, aquire additional information from other departments or institutions and indicating what sort of agreements the financial institution should reach with the credit applicant.  Credit analysts also follow up on the development of the credit portfolio of clients."
http://data.europa.eu/esco/occupation/0763c810-8ac6-4e39-867d-780a11af26e0,plumbing,plumbing supervisor|plumbing supervisor commercial|supervisor|supervisor commercial|supervisor commercial plumbing,general,They assign tasks and take quick decisions to resolve problems.
